question_description,Classes,Tag1,Tag2
I loss my hair... how to growth a hair... ,Hair Treatment,hair,growth
what is diet recommendations for healthy bones,Diet and Food,diet,diet
how to decrease the regular stress,Stress and Anxiety,stress,boredom
I have lot's of unwanted hair on my hand and lags. I want to remove it,Hair Treatment,hair,hair
Is loss of appetite is side effect of antidiabetics???  what should be probable solution on this? ,Diabetes,appetite,antidiabetics
what should be Diet plan for type ll diabetes in men? ,Diabetes,appetite,diabetes
"Is there any treatment for regaining of lost speech, after an attack of paralysis? ","Ear, Nose and Throat",speech,speech
What are the reasons for yellow teeth and care to be taken for getting back white teeth? ,Dental,teeth,white
Precautions to avoid type 2 diabetes?,Diabetes,type,diabetes
How to manage acne the natural way?,Skin,acne,acne
Precautions to avoid type 2 diabetes?,Diabetes,type,diabetes
What is the possible solution for dry eyes?,Eyes,dry,eyes
"I have toothache from few days, how to get rid of pain? ",Dental,toothache,tooth
what is a diet for increasing weight? ,Weight Gain,increasing,weight
I have severe back pain. How to get rid of back pain? ,Body Pain,back,pain
How to lower the intensity of migraine headache?,Headache,migraine,headache
How to gain weight naturally? ,Weight Gain,weight,gain
how to get rid from sinus problem?,"Ear, Nose and Throat",throat,sinus
What is the best way to relieve boredom and stress after retirement? ,Stress and Anxiety,boredom,stress
What are the symptoms of lung cirrhosis?,Lungs and Smoking,lung,lung
What are the precautions to be taken in menopause stage?,Critical,stage,spine
what can be the best way to keep us hydrated in summer?,General Problems,hyderated,summer
how to reduce stress in women ? ,Stress and Anxiety,reduce,stress
How to get rid of skin pores ?,Skin,skin,skin
"Even after 30 minutes of pouring the ear drop solution when I tilt my head, the liquid flows out of my ear. As if it is not entering into the ear canal at all and just pooling there itself. What would be the reason? I started using it because I was feeling some uneasy(airtight, unable to listen clearly) in my left ear since last two day. ","Ear, Nose and Throat",ear,drop
I have a severe spine problem. can you help? ,Critical,spine,operate
Is that Red Wine good health? What is advantages and disadvantages? ,Diet and Food,wine,food
"<p>What are the benefits of having beetroot and beetroot juice, Can I have it everyday?</p>",Diet and Food,juice,food
how to control hair fall in women? ,Hair Treatment,hair,fall
"how can I get rid of acidity? 
","Stomach, Kidney and Liver",acidity,acidity
My sister is 8 months pregnant and is having severe tooth ache since few days. Is it okay if she takes antibiotics and pain killers? Is it okay if she gets the cavities filled now? ,Sexual Problem,pregnant,pregnant
Can anxiety cause heart problems?,Stress and Anxiety,anxiety,boredom
how to get rid of large skin pores after acne?,Skin,skin,acne
"I feel tired at the end of the day please give salutation 
",Stress and Anxiety,tired,stress
How do I reduce my stress and anxiety levels?,Stress and Anxiety,stress,anxiety
Can rheumatoid arthritis treated ?,Gym,arthritis,exercise
what does it mean when blood comes out of your nose? ,"Ear, Nose and Throat",nose,nose
how to get rid of amentia in women ??,Sexual Problem,women,women
What does it mean when blood comes out of your ear? ,"Ear, Nose and Throat",ear,ear
I'm suffering with severe depression ,Stress and Anxiety,depression,depression
I have itchy eyes.  can you please help? ,Eyes,eyes,itchy
"If teeth is completely broken and falls off, should it be preserved re-implantation or you will put a new teeth? @ Priya dental ",Dental,teeth,teeth
Nerve problem ,Critical,nerve,operate
How to get fair skin tone permanently in women ? ,Skin,skin,fair
how to get rid of insomnia in women?,Sexual Problem,insomnia,pregnancy
pcod can be treated in women ???? ,Sexual Problem,women,pregnancy
How To increase appetite in women? ,Weight Gain,increase,weight
how to get rid of headache in women ? ,Headache,headache,headache
How to reduce weight without doing exercise?,Weight Loss,reduce,weight
How to get rid from belly fat ..?,Weight Loss,fat,belly
I get cramps often. how can I prevent frequent cramps? ,Gym,cramps,cramps
How to control Premenstrual syndrome (PMS) ?,Sexual Problem,premenstrual,women
How to reduce weight ,Weight Loss,reduce,weight
How to get rid of acne problem?,Skin,acne,fair
what can be the side effects of long term use of Ayurveda??,General Problems,Ayurveda,Ayurveda
How to reduce weight,Weight Loss,reduce,weight
How to prevent greying of hairs?,Hair Treatment,greying,hairs
How to get rid of Sleep disorder?,General Problems,sleep,disorder
What is the best way to avoid sun tan? ,Skin,tan,skin
What are some good fruits for healthy eye? ,Eyes,eye,eyes
"how to control hair fall in women 
",Hair Treatment,control,hairfall
how to get rid off the unwanted hair from my cheek??,Hair Treatment,cheek,hair
Common cold in summer. What the solution ,Cold,cold,cold
How to manage stress?,Stress and Anxiety,stress,anxiety
How to manage stress?,Stress and Anxiety,anxiety,stress
What are the remedies for hairfall ? ,Hair Treatment,hair,hairfall
How to get over stress?,Stress and Anxiety,stress,boredom
How do you make wisdom teeth pain go away?,Dental,teeth,wisdom
how to gain the weight and which type of food we have to eat? ,Weight Gain,gain,weight
how to get rid of mouth ulcers???,Dental,ulcers,mouth
"how to make growth my height???
",Height,growth,height
how can I grow tall and good fit,Height,growth,tall
my mom suffering headache   3 days constantly in week. Her age is 37 so please suggest me to do something,Headache,headache,headache
"how to make my chick thick??
pls suggest....",Skin,cheek,fair
"how to remove smoking effect from body
",Lungs and Smoking,lung,smoking
"how can I control my diabetes
",Diabetes,diabetes,diabetes
how to make my grey hairs turn black??? (Age 18 ; Male) ,Hair Treatment,grey,hairs
"I have breathing problem..
and it usually occurs when I do some heavy work or exercise, having this problem from childhood, I'm 16+ yrs old.",Lungs and Smoking,breathing,lung
Can anyone suggest Good Hair oil for Silky shiny Hairs..? ,Hair Treatment,hair,hairs
how to increase my weight?plzz tell,Weight Gain,increase,weight
"my wife is 5th month pregnancy 
she had motions problem 
which medicine u can refer ",Sexual Problem,pregnancy,pregnancy
I would like to ask one question personally by call or text?,Others,personally,personally
how I can increase my height??? ,Height,increase,height
"Scratches on face in accident
How to remove
Tell me medicine
",Skin,face,scratches
what are defects we will get if we release sperm daily? ,Sexual Problem,sperm,men
I am 30years old and my height is 5'8'' and my weight is 61 kg ...how can I reach 65-70 within one or two months ?,Weight Gain,weight,gain
how to destroy laziness in our life,Stress and Anxiety,laziness,laziness
common cold home remedies... can you tell me the most effective ,Cold,cold,cold
Are there any ways to cure heart blockage without bypass surgery or angioplasty?,Critical,surgery,operate
how many calories in a zinger burger?,Diet and Food,calories,eat
How do I improve my Hair Texture ,Hair Treatment,hair,hair
how do I loose 5kg in two months ,Weight Loss,loose,weight
I am having chickenpox on body how get relief from it ,Skin,chickenpox,skin
How should I increase  my height ?,Height,increase,height
"what the benefit for dates?
what time dates are eat?",Diet and Food,dates,food
I am having lot of pimples in my face. They keep occurring everyday. I am fed up with it. Age 24. drinks 3 ltr water everyday. washes face 2 times daily with face wash. ,Skin,pimples,face
I am 24 years old my breast is too small  please suggest me for best treatment because my marriage is coming in sep 2018,Sexual Problem,breast,girl
per day how many cigarettes are good?,Lungs and Smoking,cigarettes,smoking
getting pre masturbation problem how to cure it?,Sexual Problem,masturbation,men
I am getting itching whole skin with dots on whole body mainly night time with red dots...why this is happening to me?,Skin,skin,dots
"where free health check up camp
",General Problems,health,check up
I'm suffering from Hyperhidrosis.. My hands sweats  so much... How could I stop this ,Skin,sweats,sweats
Is B complex useful in hair care?  ,Hair Treatment,hair,hair
How harmful is the use of marijuana our body?,Lungs and Smoking,marijuana,smoke
"which nutrition food we should take
",Diet and Food,nutrition,food
how can I gain weight and how to diet every day?,Weight Gain,gain,weight
I have white spots upon my eyes  how can I remove it,Eyes,spots,eyes
what is the best way to lose weight ,Weight Loss,lose,weight
How does beer help us to increase our body weight and what should be the limit of consumption per week?,Weight Gain,increase,weight
How can I make my penis large?,Sexual Problem,penis,men
"How to prevent pimples ???
I want immediately answer
",Skin,pimples,pimples
What could be the consequences of not having a sex life?,Sexual Problem,sex,women
who to get fitness in below 18 years?,Gym,fitness,workout
which fruits are best for health?,Diet and Food,fruits,diet
Is Fruit Bear safe For Body or Not ??,Diet and Food,fruit,food
by doing the facial for men is there any side effect ?,Skin,facial,facial
Can I increase my height after 21yrs and I'm male,Height,increase,height
I'm too much fat what should I do ?,Weight Loss,fat,loose
How many stem cells can I expect to store?,Gym,cells,workout
cold prevention and curing methods,Cold,cold,cold
why my brain  always create pain?,Headache,brain,brain
how to increase my height my age 17,Height,increase,height
How I increase  my weight . My age is 18,Weight Gain,increase,weight
Healthy nutritional for Sugar patient,Diabetes,sugar,appetite
How to get body fitness in home exercise ,Gym,fitness,exercise
how can I get a muscular body with less exercise???,Gym,muscular,exercise
Which is rich source of potassium? ,Diet and Food,source,potassium
how can we become thin in very less time,Weight Loss,thin,loss
What is the Diet plan for weight gainer ?,Weight Gain,weight,gainer
what should be the diet for liver fibrosis?,"Stomach, Kidney and Liver",liver,liver
Which is the rich source of iron ,Diet and Food,source,iron
Which yoga is better for back pain? ,Body Pain,back,pain
How can we maintain our health,General Problems,health,health
which yoga is best to get relieve from knee pain,Gym,yoga,exercise
"How can I remove dark spots, deep cut marks, and scratches marks from face..? ",Skin,dark,spots
how to loose 1kg weight in 1month,Weight Loss,loose,weight
Which food is better for health?,Diet and Food,food,source
month proper time Bedlington long time,Others,other,other
Why should we eat less in the morning?? ,Diet and Food,eat,diet
"Best face cream which gives glow/ fairness for men??
",Skin,face,glow
"what is scope in genetics ?
please help me ",General Problems,genetics,health
I had very slim body how can I make it little bigger,Weight Gain,slim,bigger
"I have a slim face , how can I make it  little bigger ",Weight Gain,bigger,slim
"when I go to toilet for no.2 , my sperm also comes out, why ",Sexual Problem,sperm,men
how to maintain fitness by our diet including south Indian recipes ,Diet and Food,diet,recipes
I have very dark spots in my face is their any medicine  to lighten my skin,Skin,face,skin
"I have good body and I want to make my aps 

how can I make my aps??",Gym,body,aps
how can I be fit without workout,Gym,fit,workout
what are the remedies for hail fall??? ,Hair Treatment,hair,fall
Which are the Healthy foods for Boys ?,Diet and Food,food,diet
"how can I increase my weight 
I am only 17 years old
",Weight Gain,increase,weight
how we make our eyesight strong?,Eyes,eyesight,eyesight
what we to eat up to muscle grow??,Gym,muscle,fitness
What we eat to grow our muscles?,Gym,exercise,muscles
what we eat to increase our height,Height,increase,height
what can be done to decrease hair fall,Hair Treatment,decrease,fall
How did I get reduce my weight,Weight Loss,reduce,weight
waxing is harmful for skin pores or not? ,Skin,pores,skin
how to loose belly fat and diet to loose weight ?,Weight Loss,loose,belly
"How we make our eyesight strong
",Eyes,eyesight,eyesight
what is permanent solution for regular periods problem,Sexual Problem,periods ,periods
any tips on how to leave smoking?,Lungs and Smoking,smoking,smoking
Which food is good for health?,Diet and Food,food,food
how to decrease weight in body,Weight Loss,decrease,weight
"I had Fever? how to solve problems
",Cold,fever,cold
"how to increase the body weight
",Weight Gain,increase,weight
How to decrease weight in body? ,Weight Loss,decrease,weight
"how to become fit 
n conscious??",Gym,fit,exercise
fitness rahane ke liye keya Karna chahiye,Gym,fitness,workout
I need a permanent solution for psoriasis... please help me,Skin,psoriasis,psoriasis
how can I improve my height plse tell me doctor ,Height,height,height
"Mam, I have pimples on my cheeks and forehead from two months. Will you please say a remedy for it mam. ",Skin,pimples,cheeks
"body fitness ke liye kya kar ke vet kam kar sak te he
",Gym,fitness,body
how to I stay fit and fine ? tell me some ideas.,Gym,fit,body
"
which fruits can we eat for diet",Diet and Food,fruits,diet
AFTER DRINKING MILK WE HAVE TO NOT FISH?????,General Problems,drinking,drinking
what should do when heart size  found big by E.C.G,Critical,operate,E.C.G
I have a height problem my age was 18 what will do ,Height,height,height
I want to know the benefits of facial for men's,Skin,facial,skin
Is there any change in face glow by eating the dry fruits. Is dry fruits helps in change in face colour,Skin,face,glow
Is egg and banana are bad for health together ,Diet and Food,food,banana
which tooth paste is best for teeth,Dental,tooth,teeth
is there any use by the facial for men's,Skin,facial,glow
which bath soap is better for skin,Skin,skin,soap
what is health in world in science,General Problems,health,science
thyroid can be cured in ....days,"Ear, Nose and Throat",thyroid,throat
can we use vitamin E capsules to reduce the dark spot or acne from face?,Skin,spot,acne
Which foods provide vitamin k?,Diet and Food,foods,vitamin
hi how to get more concentration to study,Stress and Anxiety,concentration,stress
which face wash is better for skin?,Skin,face,skin
how can in one month two time period  pls tell ?,Sexual Problem,period,girl
How can I increase my height....,Height,height,increase
how to increase height my age 14 ,Height,increase,height
what is the usage of aloe Vera eaten?,Diet and Food,eaten,eat
how can we develop our muscles,Gym,muscles,fit
I have a accident recently. my lower jaw front 4 teeth are shaking .when to use clips or any other treatments for getting better,Dental,teeth,jaw
how to cure the ringworm suffering from one month,Skin,ringworm,ringworm
how 2 increase my height in 22 year??,Height,height,increase
how to grow beard on clean scene,Hair Treatment,beard,hairs
bar  hone wale pimples  ko kaise khatam keep​,Skin,pimples,soap
what the treatment of back pain,Body Pain,back,pain
What should I do to increase my height?,Height,increase,height
how can develop my body m so lean,Weight Gain,lean,gainer
"best way to reduce weight of body?
",Weight Loss,reduce,weight
is possible that height is increase at the age of 23 ?,Height,height,age
How to remove black spots from face? ,Skin,spots,face
"How to maintain fitness
At age of 50",Gym,fitness,gym
how to increase life longativity?,General Problems,life,life
hoed to increase facial growth of hairs?,Hair Treatment,growth,hairs
what is the right age to join gym?,Gym,age,gym
how to increase  our  health.?,General Problems,health,health
